,Cat,Name,Set,Rep
,,"Supersets
--
Lying Leg Raise
Rest 30s
Bicycle Crunch
Rest 30s",4,10 each
,,Walking Lunge,2,15
,,Machine Hip Abduction Out To In,3,10
,,Machine Hip Abduction In To Out,3,10
,,Plate Loaded Hack Squat,4,12
,,Plate Loaded Leg Press,4,12
,,Machine Standing Calf Raise,4,12
,,,,
30,Push,,,
,,Air Bike,5min,
,,Dumbbell Chest Press,3,10
,,Dumbbell Seated Shoulder Press,3,10
,,Machine Incline Chest Press,3,10
,,Cable Triceps Ext (Rope),3,10
,,Machine Side Raise,3,10
,,Machine Seated Triceps Ext,3,10
,,Dual Cable Chest Press,3,10
,,,,
31,Pull,,,
,,Rowing Machine,5m,
,,Dumbbell Alternating Bicep Curls,4,12 reps/side
,,Cable Pulldown (Medium MAG),5,15 reps/side
,,"Supersets
--
Cable Row (heavy weight)
Cable Row (lower weight)
Rest 60s",8reps each for 16 ttl,
,,Cable 1-Arm Row,3,10
,,Machine Biceps Curl,3,10
,,Resistant Band Pull Apart,4,12
